,species,pop,Du#,LP#,PC1,PC2
0,DUSE,QUIN,,10,-0.056872859877016645,0.0759813150981234
1,DUSE,QUIN,,11,-0.059741870366788574,0.08688573979378034
2,DUSE,QUIN,,14,-0.05848053606932185,0.08315699579571723
3,DUSE,QUIN,,17,-0.05714918335847627,0.0822156890661544
4,DUSE,QUIN,,19,-0.05773248961445986,0.09165624973191867
5,DUSE,QUIN,,1,-0.05777949889802784,0.08361460935251305
6,DUSE,QUIN,,20,-0.05403145422957783,0.07205871668225736
7,DUSE,QUIN,,22,-0.05739824942976904,0.10149697305147617
8,DUSE,QUIN,,23,-0.0574384288809609,0.10118411932643638
9,DUSE,QUIN,,25,-0.058700320333163115,0.09292153128878575
10,DUSE,QUIN,,26,-0.05808582390510792,0.10162468127257891
11,DUSE,QUIN,,28,-0.059666407614775915,0.10756438210464282
12,DUSE,QUIN,,29,-0.05716925432899447,0.09189533358604872
13,DUSE,QUIN,,31,-0.05598393425400136,0.07332056273982752
14,DUSE,QUIN,,32,-0.058913037963902265,0.08796332242094537
15,DUSE,QUIN,,37,-0.06052036572974986,0.09648485324346344
16,DUSE,QUIN,,40,-0.05616038224722183,0.07439392280876295
17,DUSE,QUIN,,41,-0.05522519052748059,0.06392305896609178
18,DUSE,QUIN,,43,-0.05770168369784614,0.08319142198918743
19,DUSE,QUIN,,44,-0.05926433013421119,0.0840896471511322
20,DUSE,QUIN,,52,-0.05688879404027607,0.08582441045284342
21,DUSE,QUIN,,55,-0.0595124372967052,0.10022843382081445
22,DUSE,QUIN,,56,-0.05776391914231325,0.08383125613589675
23,DUSE,QUIN,,58,-0.05616319046909848,0.06794122476727704
24,DUSE,QUIN,,59,-0.05351327779321759,0.0700402188090386
25,DUSE,QUIN,,5,-0.055320179440852255,0.07799479099960498
26,DUSE,QUIN,,61,-0.058127273275042024,0.08013636714260104
27,DUSE,QUIN,,62,-0.05735200499007216,0.08399361285403477
28,DUSE,QUIN,,63,-0.05564112500067977,0.08187484552191258
29,DUSE,QUIN,,64,-0.05850921583276146,0.0847889537013509
30,DUSE,QUIN,,65,-0.05472234516787041,0.08304140278084182
31,DUSE,QUIN,,7,-0.05843099452560913,0.08516820873797117
32,DUSE,QUIN,,8,-0.05651380848608707,0.07925365577899811
33,DUSE,COM,Du-703,269,0.009917258348472692,-0.21718150380250206
34,DUSE,DOV,Du-176,080,0.020985484242209057,-0.20642798365778592
35,DUSE,RIC,Du-528,199,-0.007338516772850247,-0.29626704428499
36,DUSE,CROB,Du-389,177,-0.007704602643573109,-0.31948510549680104
37,DUSE,KIRN,Du-426,184,-0.009904436954439775,-0.3170008820217903
38,DUSE,MALV,Du-201,095,-0.009140730737556026,-0.3023416569555285
39,DUSE,TULP,Du-248,120,-0.01121878060462156,-0.3116050308470018
40,DUSE,DUD,Du-287,136,-0.008637934057204304,-0.316990085633924
41,DUSE,STI,Du-52,034,-0.028887144202687842,-0.039965750550139144
42,DUSE,RSV,Du-87,050,-0.025875248752677157,-0.03277500952690668
43,DUSE,QUI1,Du-654,255,-0.02641708850918207,0.003662395239059238
44,DUSE,BAI,Du-222,105,0.05993403128091439,-0.17326809422592887
45,DUCY,CY_HICN,Du-614,236,0.36438825205324255,0.009156085635852842
46,DUCY,CY_SIE,Du-446,189,0.3730684001752717,0.0019374750013299192
47,DUCY,CY_HUN,Du-686,267,0.3458341457401914,0.03181482997857495
48,DUCY,CY_BOU,Du-739,290,0.21614123748555544,-0.047949856377406515
49,DUAB,ABMU_HOR,Du-777,308,0.3934176055106433,0.14327432200195547
50,DUAB,ABBE_BERN,Du-781,312,0.37178458442549184,0.11261232969169606
51,DUAB,ABAB_MAD,Du-593,322,0.39150381620386826,0.14353386147052072
